UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
196,Philippines,,Taguig,,3/30/2020,,,"TC: NA. MW: Around 15,000 registered jeepney, pedicab and tricycle drivers in Taguig received a cash amount of P8.000. This industry was among the hardest-hit by the enhanced community quarantine intended to prevent the spread of COVID-19.. ML: NA",Informal transport drivers granted cash subsidies,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,entire city,,unknown,,Opening up after lockdown,New action,Input or request from community,One time implementation,Economic recovery,Other,,Financing,unknown,https://www.pna.gov.ph/articles/1098682,,,,,,,,,,,,Shared modes,,,Government of Taguig CIty,1,,,East Asia & Pacific,PH,,0,,,,,,204,MW163,MW163
197,United States,Kentucky,statewide,,3/30/2020,,,"TC: NA. MW: In both Ohio and Kentucky, bicycle repair shops -- along with other transportation-related services like gas stations, auto repair shops, auto parts stores and public transit -- are considered essential businesses.. ML: NA",Kentucky and Ohio deem bicycle shops essential businesses,"Legal, policy, enforcement, funding changes",Other strategies: legal changes,other bike/ped supports,legal changes,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Based on demand,Unknown,Moving people,Special permit,,Using information and data,unknown,https://www.wcpo.com/were-open/local-bike-shops-keeping-tri-state-cyclists-mobile-active-through-covid-19-crisis,,,,,,,,,,,,Active,Bicycle / e-bicycle,Bicycle shop,"Kentucky Office of the Governor, Ohio Office of the Governor, Bicycle shops",2,1,,North America,US,,1,,,,,,205,MW329,MW329
198,Canada,British Columbia,Vancouver,,3/30/2020,,,"TC: NA. MW: Vancouver responded to changing demands for parking, particularly for healthcare workers, by relaxing parking enforcement in several areas. The city temporarily suspended enforcement of metered parking, rush-hour zones, residential permit-parking zones, parking time limits (including the three-hour parking restriction). With residents doing their part by staying home as much as possible, traffic volume and parking demand have dropped significantly and the need to enforce certain types of parking was deemed no longer required.. ML: NA",Parking enforcement relaxed in Vancouver to better serve health workers,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,Parking lane,All day every day,N/A,entire city,,unknown,,Anticipated response,New action,Based on demand,Temporary,Public health,Special permit,,unknown,unknown,https://vancouver.ca/news-calendar/city-makes-temporary-changes-to-parking-and-waste-collection.aspx,,,,,,,,,,,,Individually owned,,,City of Vancouver,1,,,North America,CA,CA-BC,1,,,,,,206,MW056,MW056
199,Canada,British Columbia,Vernon,3/30/2020,3/30/2020,,,"TC: NA. MW: The City of Vernon is making changes to downtown traffic signals as part of its response to COVID-19, in order to reduce high touch points in the community. Pedestrian 'walk' phases at intersections will happen automatically with no need to press a button. No changes will be made to traffic signals on Highway 97 (32 Street), so pedestrians will need to continue to press the button in order to cross the highway. Locations with particularly loud audible walk announcements will have the audible announcement switched off at night so residents are not disrupted overnight. This includes the intersections of 30 Avenue and 29 Street, 30 Avenue and 34 Street, and 32 Avenue and 33 Street.. ML: NA",Vernon Automating Walk Signals to Protect Public Health,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),one or more streets,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,"https://www.vernon.ca/activities-events/news-events/news-archive/covid-19-update-downtown-pedestrian-crossings-automated , https://www.vernon.ca/activities-events/news-events/news-archive/covid-19-update-downtown-pedestrian-crossings-automated",,,,,,,,,,,,Public space,,,Vernon Transportation,1,,,North America,CA,,1,,,,,,207,MW057,MW057
200,Netherlands,Curacao,Willemstad,,3/30/2020,,,TC: NA. MW: The restriction on the use of public roads during the day was introduced in line with the obligation to stay at home for citizens performing non-vital functions. Citizens are only allowed to use the public roads for care tasks. The prohibition was introduced by ministerial order and applies for all modes of transport.. ML: NA,Restriction on the use of public roads,Other mobility-related strategies,Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,Entire Roadway,Specific hours during daytime,N/A,entire city,Road space (includes bridges),unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Mobility restriction,,Modifications to or reallocation of public infrastructure,unknown,https://gobiernu.cw/nl/laws/beschikking-maatregelen-openbare-orde-covid-19-iii/,,,,,,,,,,,,Public space,,All modes,Government of Curaçao,1,,,Latin America & Caribbean,CW,,1,,,,,,208,MW065,MW065
201,Lebanon,,Beirut,3/31/2020,,,,"TC: all public transport (informal) banned from operation, fines to those who don't comply. MW: NA. ML: NA",,Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,N/A,N/A,entire city,N/A,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,info@thechaineffect.me,,,,,,,0,,,,Middle East & North Africa,LB,0,1,,,,,,209,TC022,TC022
202,Lebanon,,Beirut,3/31/2020,,,,"TC: Municipality police issuing fines, cases concentrated in certain parts of the city, for example, the seaside promenade, fining somewhat arbitrary. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Specific enforcement action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,unknown,unknown,N/A,entire city,N/A,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Middle East & North Africa,LB,,1,,,,,,211,TC081,TC081
203,Lebanon,,Beirut,3/31/2020,,,,TC: outdoor physical activity no longer permitted during strict lockdown. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,N/A,N/A,entire city,N/A,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Middle East & North Africa,LB,,1,,,,,,213,TC080,TC080
204,United States,North Carolina,Carrboro,3/31/2020,,,,TC: deactivated some beg buttons in downtown. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),unknown,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Indefinite,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,NA,,,,,,,,zhallock@townofcarrboro.org,,,,Public space,,,0,,,,North America,US,US-NC,1,,,,,,214,ML317,"ML317, TC088"
205,Peru,,Lima,3/31/2020,,,,"TC: All public transport (formal and informal) still allowed, but reduced service because of minimum demand. MW: NA. ML: NA",,Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,PE,,1,,,,,,215,TC085,TC085
206,Peru,,Lima,3/31/2020,,,,TC: Random checks for people on the street and vehicles. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Specific enforcement action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,PE,,1,,,,,,216,TC084,TC084
207,Peru,,Lima,3/31/2020,,,,"TC: Only essential travel allowed, no outdoor physical activity permitted. You have to get a permit online stating the reason of your travel, origin and destination, and get a statement from your employer or person you are taking care of.. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Specific policy action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,PE,,1,,,,,,217,TC083,TC083
208,United States,Minnesota,Minneapolis,,3/31/2020,,,"TC: NA. MW: Metro Transit transports unsheltered individuals to hotels in partnership with Hennepin and Ramsey counties and service providers, such as Harbor Light Center and First Covenant Church. The counties are relocating older guests from shelters in order to keep all sheltered individuals safe.. ML: NA",Minneapolis and Saint Paul offer rides to shelters,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving people,Other,,Modifications to services,unknown,"https://www.metrotransit.org/amid-pandemic-metro-transit-providing-safe-rides-to-safe-havens , https://thesource.metro.net/2020/05/01/metro-helping-more-unhoused-people-get-into-shelters-during-covid-19/",,,,,,,,,,,,Transit,Bus,,"Metro Transit, Hennepin County, Ramsey County, Harbor Light Center, First Covenant Church",3,,2,North America,US,US-MN,0,,,,,,218,MW376,MW376
209,United States,New York,New York City,,3/31/2020,,,"TC: NA. MW: The City of New York Department of Transport (DOT) suspended alternate side parking regulation through Tuesday April 14, 2020 and following holidays. Payment at parking meters remained in effect throughout the City.. ML: NA",New York suspending alternate side parking regulations,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Other,,Introducing new processes,unknown,https://www1.nyc.gov/html/dot/html/pr2020/pr20-015.shtml,,,,,,,,,,,,Individually owned,,,City of New York's Department of Transportation (DOT),1,,,North America,US,US-NY,1,,,,,,219,MW396,MW396
210,France,,Paris,,3/31/2020,,,"TC: NA. MW: In Paris, the ZITY electric car-sharing service was adapted to offer free use for healthcare workers of up to 300 Renault ZOE cars via Hoptisoins, the online service platform set up by Assistance Publique - Hôpitaux de Paris (AP-HP). This free offer will initially be reserved for the staff of the nine hospitals in the Paris region involved in treating COVID-19. The first cars were placed near these hospitals on March 30. Each AP-HP location benefiting from the service will be allocated a vehicle for its use. The vehicles will be recharged and cleaned by ZITY teams during the caregivers' work periods and in full compliance with the health procedures in force. The ZITY car sharing platform launched February but operations were temporarily suspended because of the COVID-19 crisis. 
 
 Additionally, within ZITY’s fleet, 10 Renault ZOE carss were made available to the AP-HP logistics department at the Pitié-Salpêtrière site. These vehicles will be used to supply hospitals with essential equipment.. ML: NA",ZITY electric car-sharing service offers free services for healthcare workers in Paris,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Anticipated response,New action,Arbitrary,Temporary,Moving people,Special permit,,Modifications to prices,unknown,https://en.media.groupe.renault.com/news/groupe-renault-puts-vehicles-at-the-disposal-of-health-care-personnel-everywhere-in-france-73a8-989c5.html,,,,,,,,,,,,Shared modes,Private e-vehicle,,"ZITY (operated by Groupe Renault), Assistance Publique – Hôpitaux de Paris",,1,1,Europe & Central Asia,FR,,0,,,,,,220,MW079,MW079
